section,key,value
batch:batch-67,queue_wait_time,2.0
batch:batch-67,processing_time,4.0
batch:batch-67,stages_count,3
batch:batch-67,completed,False
batch:batch-67,rejected,True
batch:batch-67,waited_in_queue,True
batch:batch-67,status,rejected
batch:batch-68,batch_id,batch-68
batch:batch-68,cycle_time,70.0
batch:batch-68,queue_wait_time,1.0
batch:batch-68,processing_time,16.0
batch:batch-68,stages_count,3
batch:batch-68,completed,True
batch:batch-68,rejected,False
batch:batch-68,waited_in_queue,True
batch:batch-68,status,completed
batch:batch-69,batch_id,batch-69
batch:batch-69,cycle_time,5.0
batch:batch-69,queue_wait_time,0.0
batch:batch-69,processing_time,4.0
batch:batch-69,stages_count,3
batch:batch-69,completed,False
batch:batch-69,rejected,True
batch:batch-69,waited_in_queue,False
batch:batch-69,status,rejected
batch:batch-70,batch_id,batch-70
batch:batch-70,cycle_time,4.0
batch:batch-70,queue_wait_time,0.0
batch:batch-70,processing_time,4.0
batch:batch-70,stages_count,3
batch:batch-70,completed,False
batch:batch-70,rejected,True
batch:batch-70,waited_in_queue,False
batch:batch-70,status,rejected
batch:batch-71,batch_id,batch-71
batch:batch-71,cycle_time,4.0
batch:batch-71,queue_wait_time,0.0
batch:batch-71,processing_time,4.0
batch:batch-71,stages_count,3
batch:batch-71,completed,False
batch:batch-71,rejected,True
batch:batch-71,waited_in_queue,False
batch:batch-71,status,rejected
batch:batch-72,batch_id,batch-72
batch:batch-72,cycle_time,68.0
batch:batch-72,queue_wait_time,0.0
batch:batch-72,processing_time,16.0
batch:batch-72,stages_count,3
batch:batch-72,completed,True
batch:batch-72,rejected,False
batch:batch-72,waited_in_queue,True
batch:batch-72,status,completed
batch:batch-73,batch_id,batch-73
batch:batch-73,cycle_time,6.0
batch:batch-73,queue_wait_time,0.0
batch:batch-73,processing_time,4.0
batch:batch-73,stages_count,3
batch:batch-73,completed,False
batch:batch-73,rejected,True
batch:batch-73,waited_in_queue,False
batch:batch-73,status,rejected
batch:batch-74,batch_id,batch-74
batch:batch-74,cycle_time,5.0
batch:batch-74,queue_wait_time,0.0
batch:batch-74,processing_time,4.0
batch:batch-74,stages_count,3
batch:batch-74,completed,False
batch:batch-74,rejected,True
batch:batch-74,waited_in_queue,False
batch:batch-74,status,rejected
batch:batch-75,batch_id,batch-75
batch:batch-75,cycle_time,68.0
batch:batch-75,queue_wait_time,0.0
batch:batch-75,processing_time,16.0
batch:batch-75,stages_count,3
batch:batch-75,completed,True
batch:batch-75,rejected,False
batch:batch-75,waited_in_queue,True
batch:batch-75,status,completed
batch:batch-76,batch_id,batch-76
batch:batch-76,cycle_time,4.0
batch:batch-76,queue_wait_time,0.0
batch:batch-76,processing_time,4.0
batch:batch-76,stages_count,3
batch:batch-76,completed,False
batch:batch-76,rejected,True
batch:batch-76,waited_in_queue,False
batch:batch-76,status,rejected
batch:batch-77,batch_id,batch-77
batch:batch-77,cycle_time,6.0
batch:batch-77,queue_wait_time,0.0
batch:batch-77,processing_time,4.0
batch:batch-77,stages_count,3
batch:batch-77,completed,False
batch:batch-77,rejected,True
batch:batch-77,waited_in_queue,False
batch:batch-77,status,rejected
batch:batch-78,batch_id,batch-78
batch:batch-78,cycle_time,75.0
batch:batch-78,queue_wait_time,0.0
batch:batch-78,processing_time,16.0
batch:batch-78,stages_count,3
batch:batch-78,completed,True
batch:batch-78,rejected,False
batch:batch-78,waited_in_queue,True
batch:batch-78,status,completed
batch:batch-79,batch_id,batch-79
batch:batch-79,cycle_time,4.0
batch:batch-79,queue_wait_time,0.0
batch:batch-79,processing_time,4.0
batch:batch-79,stages_count,3
batch:batch-79,completed,False
batch:batch-79,rejected,True
batch:batch-79,waited_in_queue,False
batch:batch-79,status,rejected
batch:batch-80,batch_id,batch-80
batch:batch-80,cycle_time,6.0
batch:batch-80,queue_wait_time,0.0
batch:batch-80,processing_time,4.0
batch:batch-80,stages_count,3
batch:batch-80,completed,False
batch:batch-80,rejected,True
batch:batch-80,waited_in_queue,False
batch:batch-80,status,rejected
batch:batch-81,batch_id,batch-81
batch:batch-81,cycle_time,77.0
batch:batch-81,queue_wait_time,0.0
batch:batch-81,processing_time,16.0
batch:batch-81,stages_count,3
batch:batch-81,completed,True
batch:batch-81,rejected,False
batch:batch-81,waited_in_queue,True
batch:batch-81,status,completed
batch:batch-82,batch_id,batch-82
batch:batch-82,cycle_time,6.0
batch:batch-82,queue_wait_time,1.0
batch:batch-82,processing_time,4.0
batch:batch-82,stages_count,3
batch:batch-82,completed,False
batch:batch-82,rejected,True
batch:batch-82,waited_in_queue,True
batch:batch-82,status,rejected
batch:batch-83,batch_id,batch-83
batch:batch-83,cycle_time,7.0
batch:batch-83,queue_wait_time,0.0
batch:batch-83,processing_time,4.0
batch:batch-83,stages_count,3
batch:batch-83,completed,False
batch:batch-83,rejected,True
batch:batch-83,waited_in_queue,False
batch:batch-83,status,rejected
batch:batch-84,batch_id,batch-84
batch:batch-84,cycle_time,77.0
batch:batch-84,queue_wait_time,0.0
batch:batch-84,processing_time,16.0
batch:batch-84,stages_count,3
batch:batch-84,completed,True
batch:batch-84,rejected,False
batch:batch-84,waited_in_queue,True
batch:batch-84,status,completed
batch:batch-85,batch_id,batch-85
batch:batch-85,cycle_time,7.0
batch:batch-85,queue_wait_time,3.0
batch:batch-85,processing_time,4.0
batch:batch-85,stages_count,3
batch:batch-85,completed,False
batch:batch-85,rejected,True
batch:batch-85,waited_in_queue,True
batch:batch-85,status,rejected
batch:batch-86,batch_id,batch-86
batch:batch-86,cycle_time,7.0
batch:batch-86,queue_wait_time,0.0
batch:batch-86,processing_time,4.0
batch:batch-86,stages_count,3
